_id,barcode,category,categoryCode,cpg,name,topBrand,brandCode
{'$oid': '601ac115be37ce2ead437551'},511111019862,Baking,BAKING,"{'$id': {'$oid': '601ac114be37ce2ead437550'}, '$ref': 'Cogs'}",test brand @1612366101024,False,
{'$oid': '601c5460be37ce2ead43755f'},511111519928,Beverages,BEVERAGES,"{'$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}, '$ref': 'Cogs'}",Starbucks,False,STARBUCKS
{'$oid': '601ac142be37ce2ead43755d'},511111819905,Baking,BAKING,"{'$id': {'$oid': '601ac142be37ce2ead437559'}, '$ref': 'Cogs'}",test brand @1612366146176,False,TEST BRANDCODE @1612366146176
{'$oid': '601ac142be37ce2ead43755a'},511111519874,Baking,BAKING,"{'$id': {'$oid': '601ac142be37ce2ead437559'}, '$ref': 'Cogs'}",test brand @1612366146051,False,TEST BRANDCODE @1612366146051
{'$oid': '601ac142be37ce2ead43755e'},511111319917,Candy & Sweets,CANDY_AND_SWEETS,"{'$id': {'$oid': '5332fa12e4b03c9a25efd1e7'}, '$ref': 'Cogs'}",test brand @1612366146827,False,TEST BRANDCODE @1612366146827
{'$oid': '601ac142be37ce2ead43755b'},511111719885,Baking,BAKING,"{'$id': {'$oid': '601ac142be37ce2ead437559'}, '$ref': 'Cogs'}",test brand @1612366146091,False,TEST BRANDCODE @1612366146091
{'$oid': '601ac142be37ce2ead43755c'},511111219897,Baking,BAKING,"{'$id': {'$oid': '601ac142be37ce2ead437559'}, '$ref': 'Cogs'}",test brand @1612366146133,False,TEST BRANDCODE @1612366146133
{'$oid': '5cdad0f5166eb33eb7ce0faa'},511111104810,Condiments & Sauces,,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",J.L. Kraft,,J.L. KRAFT
{'$oid': '5ab15636e4b0be0a89bb0b07'},511111504412,Canned Goods & Soups,,"{'$ref': 'Cogs', '$id': {'$oid': '5a734034e4b0d58f376be874'}}",Campbell's Home Style,False,CAMPBELLS HOME STYLE
{'$oid': '5c408e8bcd244a1fdb47aee7'},511111504788,Baking,,"{'$ref': 'Cogs', '$id': {'$oid': '59ba6f1ce4b092b29c167346'}}",test,,TEST
{'$oid': '5f4bf556be37ce0b4491554d'},511111516354,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f4bf556be37ce0b44915549'}}",test brand @1598813526777,,TEST BRANDCODE @1598813526777
{'$oid': '57c08106e4b0718ff5fcb02c'},511111102540,,,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5f2e4b03c9a25efd0aa'}}",MorningStar,,
{'$oid': '588ba07be4b02187f85cdadd'},511111201076,Baking,,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",Calumet,False,CALUMET
{'$oid': '5d6413156d5f3b23d1bc790a'},511111205012,Magazines,,"{'$ref': 'Cogs', '$id': {'$oid': '5d5d4fd16d5f3b23d1bc7905'}}",Entertainment Weekly,,511111205012
{'$oid': '585a9611e4b03e62d1ce0e74'},511111801801,Breakfast & Cereal,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",AUNT JEMIMA Syrup,False,AUNT JEMIMA SYRUP
{'$oid': '57e5820ce4b0ac389136a311'},511111202233,Beer Wine Spirits,,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f709e4b03c9a25efd0f1'}}",Molson Canadian,False,MOLSON
{'$oid': '5fb6adb8be37ce522e165cb8'},511111817376,Health & Wellness,HEALTHY_AND_WELLNESS,"{'$ref': 'Cogs', '$id': {'$oid': '5d9b4f591dda2c6225a284aa'}}",Lotrimin®,False,LOTRIMIN
{'$oid': '5f358338be37ce443bf9d55a'},511111515319,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f358338be37ce443bf9d557'}}",test brand @1597342520277,,TEST BRANDCODE @1597342520277
{'$oid': '5fb28549be37ce522e165cb5'},511111317364,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5fb28549be37ce522e165cb4'}}",test brand @1605535049181,False,
{'$oid': '592486bfe410d61fcea3d139'},511111300700,Beauty,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f6e4b03c9a25efd0b4'}}",ST. IVES,False,ST IVES
{'$oid': '5c4699f387ff3577e203ea29'},511111305125,Baby,,"{'$ref': 'Cogs', '$id': {'$oid': '55b62995e4b0d8e685c14213'}}",Chris Image Test,,CHRISIMAGE
{'$oid': '5da6071ea60b87376833e34d'},511111005650,Health & Wellness,HEALTHY_AND_WELLNESS,"{'$ref': 'Cogs', '$id': {'$oid': '5d9b4f591dda2c6225a284aa'}}",Alka-Seltzer®,,ALKA SELTZER
{'$oid': '57ebc011e4b0ac389136a335'},511111802129,Condiments & Sauces,,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",Jack Daniel's,False,JACK DANIEL'S BARBECUE
{'$oid': '5332f5fee4b03c9a25efd0bd'},511111303947,,,"{'$ref': 'Cpgs', '$id': {'$oid': '53e10d6368abd3c7065097cc'}}",Bottled Starbucks,,
{'$oid': '5332fa7ce4b03c9a25efd22e'},511111802914,,,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5ebe4b03c9a25efd0a8'}}",Full Throttle,,
