_id,active,createdDate,lastLogin,role,signUpSource,state
{'$oid': '5ff1e194b6a9d73a3a9f1052'},True,{'$date': 1609687444800},{'$date': 1609687537858},consumer,Email,WI
{'$oid': '5ff1e194b6a9d73a3a9f1052'},True,{'$date': 1609687444800},{'$date': 1609687537858},consumer,Email,WI
{'$oid': '5ff1e194b6a9d73a3a9f1052'},True,{'$date': 1609687444800},{'$date': 1609687537858},consumer,Email,WI
{'$oid': '5ff1e1eacfcf6c399c274ae6'},True,{'$date': 1609687530554},{'$date': 1609687530597},consumer,Email,WI
{'$oid': '5ff1e194b6a9d73a3a9f1052'},True,{'$date': 1609687444800},{'$date': 1609687537858},consumer,Email,WI
{'$oid': '5ff1e194b6a9d73a3a9f1052'},True,{'$date': 1609687444800},{'$date': 1609687537858},consumer,Email,WI
{'$oid': '5ff1e1e8cfcf6c399c274ad9'},True,{'$date': 1609687528354},{'$date': 1609687528392},consumer,Email,WI
{'$oid': '5ff1e1b7cfcf6c399c274a5a'},True,{'$date': 1609687479626},{'$date': 1609687479665},consumer,Email,WI
{'$oid': '5ff1e194b6a9d73a3a9f1052'},True,{'$date': 1609687444800},{'$date': 1609687537858},consumer,Email,WI
{'$oid': '5ff1e1f1cfcf6c399c274b0b'},True,{'$date': 1609687537564},{'$date': 1609687537599},consumer,Email,WI
{'$oid': '5ff1e194b6a9d73a3a9f1052'},True,{'$date': 1609687444800},{'$date': 1609687537858},consumer,Email,WI
{'$oid': '5ff1e1eacfcf6c399c274ae6'},True,{'$date': 1609687530554},{'$date': 1609687530597},consumer,Email,WI
{'$oid': '5ff1e194b6a9d73a3a9f1052'},True,{'$date': 1609687444800},{'$date': 1609687537858},consumer,Email,WI
{'$oid': '5ff1e1eacfcf6c399c274ae6'},True,{'$date': 1609687530554},{'$date': 1609687530597},consumer,Email,WI
{'$oid': '5ff1e194b6a9d73a3a9f1052'},True,{'$date': 1609687444800},{'$date': 1609687537858},consumer,Email,WI
{'$oid': '5ff1e194b6a9d73a3a9f1052'},True,{'$date': 1609687444800},{'$date': 1609687537858},consumer,Email,WI
{'$oid': '5ff1e1e4cfcf6c399c274ac3'},True,{'$date': 1609687524656},{'$date': 1609687524694},consumer,Email,WI
{'$oid': '5ff1e1b4cfcf6c399c274a54'},True,{'$date': 1609687476410},{'$date': 1609687476452},consumer,Email,WI
{'$oid': '5ff1e1eacfcf6c399c274ae6'},True,{'$date': 1609687530554},{'$date': 1609687530597},consumer,Email,WI
{'$oid': '5ff1e194b6a9d73a3a9f1052'},True,{'$date': 1609687444800},{'$date': 1609687537858},consumer,Email,WI
{'$oid': '5ff370c562fde912123a5e0e'},True,{'$date': 1609789637776},{'$date': 1609789850563},consumer,Email,WI
{'$oid': '5ff36d0362fde912123a5535'},True,{'$date': 1609788675973},{'$date': 1609788882944},consumer,Email,WI
{'$oid': '5ff36d83135e7011bcb864d6'},True,{'$date': 1609788803244},{'$date': 1609788803425},consumer,Email,WI
{'$oid': '5ff36c8862fde912123a538a'},True,{'$date': 1609788552943},{'$date': 1609788553141},consumer,Email,WI
{'$oid': '5ff370c562fde912123a5e0e'},True,{'$date': 1609789637776},{'$date': 1609789850563},consumer,Email,WI
{'$oid': '5ff36be7135e7011bcb856d3'},True,{'$date': 1609788391239},{'$date': 1609788592726},consumer,Email,WI
{'$oid': '5ff36d0362fde912123a5535'},True,{'$date': 1609788675973},{'$date': 1609788882944},consumer,Email,WI
{'$oid': '5ff36be7135e7011bcb856d3'},True,{'$date': 1609788391239},{'$date': 1609788592726},consumer,Email,WI
{'$oid': '5ff36a3862fde912123a4460'},True,{'$date': 1609787960352},{'$date': 1609788185340},consumer,Email,WI
{'$oid': '5ff36d0362fde912123a5535'},True,{'$date': 1609788675973},{'$date': 1609788882944},consumer,Email,WI
{'$oid': '5ff36c8e135e7011bcb85da4'},True,{'$date': 1609788558994},{'$date': 1609788559173},consumer,Email,WI
{'$oid': '5ff36a3862fde912123a4460'},True,{'$date': 1609787960352},{'$date': 1609788185340},consumer,Email,WI
{'$oid': '5ff370c562fde912123a5e0e'},True,{'$date': 1609789637776},{'$date': 1609789850563},consumer,Email,WI
{'$oid': '5ff36a3862fde912123a4460'},True,{'$date': 1609787960352},{'$date': 1609788185340},consumer,Email,WI
{'$oid': '5ff36a3862fde912123a4460'},True,{'$date': 1609787960352},{'$date': 1609788185340},consumer,Email,WI
{'$oid': '5ff370c562fde912123a5e0e'},True,{'$date': 1609789637776},{'$date': 1609789850563},consumer,Email,WI
{'$oid': '5ff36a3862fde912123a4460'},True,{'$date': 1609787960352},{'$date': 1609788185340},consumer,Email,WI
{'$oid': '5ff370c562fde912123a5e0e'},True,{'$date': 1609789637776},{'$date': 1609789850563},consumer,Email,WI
{'$oid': '5ff3711e62fde912123a620e'},True,{'$date': 1609789726807},{'$date': 1609789726997},consumer,Email,WI
{'$oid': '5ff36be7135e7011bcb856d3'},True,{'$date': 1609788391239},{'$date': 1609788592726},consumer,Email,WI
{'$oid': '5ff4ce33c3d63511e2a484b6'},True,{'$date': 1609879091229},{'$date': 1609879195131},consumer,Email,WI
{'$oid': '5ff473e7c1e2d0121a9b2697'},True,{'$date': 1609855975669},{'$date': 1609855975877},consumer,Email,WI
{'$oid': '5ff47392c3d63511e2a47881'},True,{'$date': 1609855890233},{'$date': 1609856133550},consumer,Email,WI
{'$oid': '5ff47392c3d63511e2a47881'},True,{'$date': 1609855890233},{'$date': 1609856133550},consumer,Email,WI
{'$oid': '5ff4ce33c3d63511e2a484b6'},True,{'$date': 1609879091229},{'$date': 1609879195131},consumer,Email,WI
{'$oid': '5ff4ce91c1e2d0121a9b3057'},True,{'$date': 1609879185282},{'$date': 1609879185329},consumer,Email,WI
{'$oid': '5ff47392c3d63511e2a47881'},True,{'$date': 1609855890233},{'$date': 1609856133550},consumer,Email,WI
{'$oid': '5ff4ce3dc3d63511e2a484dc'},True,{'$date': 1609879101887},{'$date': 1609879101938},consumer,Email,WI
{'$oid': '5ff4ce33c3d63511e2a484b6'},True,{'$date': 1609879091229},{'$date': 1609879195131},consumer,Email,WI
{'$oid': '5ff4ce3dc3d63511e2a484dc'},True,{'$date': 1609879101887},{'$date': 1609879101938},consumer,Email,WI
{'$oid': '5ff4ce33c3d63511e2a484b6'},True,{'$date': 1609879091229},{'$date': 1609879195131},consumer,Email,WI
{'$oid': '5ff47392c3d63511e2a47881'},True,{'$date': 1609855890233},{'$date': 1609856133550},consumer,Email,WI
{'$oid': '5ff4ce3dc3d63511e2a484dc'},True,{'$date': 1609879101887},{'$date': 1609879101938},consumer,Email,WI
{'$oid': '5ff4ce3dc3d63511e2a484dc'},True,{'$date': 1609879101887},{'$date': 1609879101938},consumer,Email,WI
{'$oid': '5ff4ce33c3d63511e2a484b6'},True,{'$date': 1609879091229},{'$date': 1609879195131},consumer,Email,WI
{'$oid': '5ff4ce34c3d63511e2a484ba'},True,{'$date': 1609879092503},{'$date': 1609879092565},consumer,Email,WI
{'$oid': '5ff4ce33c3d63511e2a484b6'},True,{'$date': 1609879091229},{'$date': 1609879195131},consumer,Email,WI
{'$oid': '5ff4ce33c3d63511e2a484b6'},True,{'$date': 1609879091229},{'$date': 1609879195131},consumer,Email,WI
{'$oid': '5ff4ce3ac1e2d0121a9b2fb3'},True,{'$date': 1609879098446},{'$date': 1609879098495},consumer,Email,WI
{'$oid': '5ff47392c3d63511e2a47881'},True,{'$date': 1609855890233},{'$date': 1609856133550},consumer,Email,WI
{'$oid': '5ff5d15aeb7c7d12096d91a2'},True,{'$date': 1609945434680},{'$date': 1609945690009},consumer,Email,WI
{'$oid': '5ff5d15aeb7c7d12096d91a2'},True,{'$date': 1609945434680},{'$date': 1609945690009},consumer,Email,WI
{'$oid': '5ff5d15aeb7c7d12096d91a2'},True,{'$date': 1609945434680},{'$date': 1609945690009},consumer,Email,WI
{'$oid': '5ff5d15aeb7c7d12096d91a2'},True,{'$date': 1609945434680},{'$date': 1609945690009},consumer,Email,WI
{'$oid': '5ff5d15aeb7c7d12096d91a2'},True,{'$date': 1609945434680},{'$date': 1609945690009},consumer,Email,WI
{'$oid': '5ff5d15aeb7c7d12096d91a2'},True,{'$date': 1609945434680},{'$date': 1609945690009},consumer,Email,WI
{'$oid': '5ff5d1a38f142f11dd1886ba'},True,{'$date': 1609945507667},{'$date': 1609945507878},consumer,Email,WI
{'$oid': '5ff5d15aeb7c7d12096d91a2'},True,{'$date': 1609945434680},{'$date': 1609945690009},consumer,Email,WI
{'$oid': '5ff5d15aeb7c7d12096d91a2'},True,{'$date': 1609945434680},{'$date': 1609945690009},consumer,Email,WI
{'$oid': '5ff5d15aeb7c7d12096d91a2'},True,{'$date': 1609945434680},{'$date': 1609945690009},consumer,Email,WI
{'$oid': '5ff5d15aeb7c7d12096d91a2'},True,{'$date': 1609945434680},{'$date': 1609945690009},consumer,Email,WI
{'$oid': '5ff5d15aeb7c7d12096d91a2'},True,{'$date': 1609945434680},{'$date': 1609945690009},consumer,Email,WI
{'$oid': '5ff5d15aeb7c7d12096d91a2'},True,{'$date': 1609945434680},{'$date': 1609945690009},consumer,Email,WI
{'$oid': '5ff5d15aeb7c7d12096d91a2'},True,{'$date': 1609945434680},{'$date': 1609945690009},consumer,Email,WI
{'$oid': '5ff5d15aeb7c7d12096d91a2'},True,{'$date': 1609945434680},{'$date': 1609945690009},consumer,Email,WI
{'$oid': '5ff5d15aeb7c7d12096d91a2'},True,{'$date': 1609945434680},{'$date': 1609945690009},consumer,Email,WI
{'$oid': '5ff5d1d08f142f11dd18884c'},True,{'$date': 1609945552484},{'$date': 1609945552717},consumer,Email,WI
{'$oid': '5ff5d15aeb7c7d12096d91a2'},True,{'$date': 1609945434680},{'$date': 1609945690009},consumer,Email,WI
{'$oid': '5ff5d15aeb7c7d12096d91a2'},True,{'$date': 1609945434680},{'$date': 1609945690009},consumer,Email,WI
{'$oid': '5ff5d15aeb7c7d12096d91a2'},True,{'$date': 1609945434680},{'$date': 1609945690009},consumer,Email,WI
{'$oid': '5ff7264e8f142f11dd189504'},True,{'$date': 1610032718596},{'$date': 1610032826821},consumer,Email,WI
{'$oid': '5ff7401ceb7c7d31ca8a46e0'},True,{'$date': 1610039324072},{'$date': 1610039324352},consumer,Email,WI
{'$oid': '5ff73bea8f142f3276c3e84a'},True,{'$date': 1610038250206},{'$date': 1610038250255},consumer,Email,WI
{'$oid': '5ff74f3db3348b11c93361d1'},True,{'$date': 1610043197921},{'$date': 1610043423217},consumer,Email,WI
{'$oid': '5ff7264e8f142f11dd189504'},True,{'$date': 1610032718596},{'$date': 1610032826821},consumer,Email,WI
{'$oid': '5ff73b90eb7c7d31ca8a452b'},True,{'$date': 1610038160959},{'$date': 1610038267267},consumer,Email,WI
{'$oid': '5ff7930fb3348b11c93372a6'},True,{'$date': 1610060559759},{'$date': 1610060994656},consumer,Email,WI
{'$oid': '5ff7268eeb7c7d12096da2a9'},True,{'$date': 1610032782584},{'$date': 1610032782630},consumer,Email,WI
